sample	file	group	replicate	sex	devstage	sname
testis_18	ERR2598204	testis	18	male	6wpc	2090sTS.Human.Testis.CS18.Male	
testis_19	ERR2598205	testis	19	male	6wpc	3677sTS.Human.Testis.CS18.Male	
testis_20	ERR2598225	testis	20	male	7wpc	3642sTS.Human.Testis.CS19.Male	
testis_21	ERR2598223	testis	21	male	7wpc	2015sTSb.Human.Testis.CS21.Male	
testis_22	ERR2598224	testis	22	male	7wpc	3640sTS.Human.Testis.CS21.Male	
testis_23	ERR2598247	testis	23	male	8wpc	1990sTS.Human.Testis.CS22.Male	
testis_24	ERR2598249	testis	24	male	8wpc	2020sTSm.Human.Testis.8w.Male	
testis_25	ERR2598248	testis	25	male	8wpc	1991sTS.Human.Testis.CS23.Male	
testis_26	ERR2598264	testis	26	male	9wpc	2074sTS.Human.Testis.9w.Male	
testis_27	ERR2598265	testis	27	male	9wpc	5926sTS.Human.Testis.9w.Male	
testis_28	ERR2598278	testis	28	male	adolescent	5561sTS.Human.Testis.14ypb.Male	
testis_29	ERR2598279	testis	29	male	adolescent	5564sTS.Human.Testis.14ypb.Male	
testis_30	ERR2598276	testis	30	male	adolescent	5526sTS.Human.Testis.16ypb.Male	
testis_31	ERR2598277	testis	31	male	adolescent	5546sTS.Human.Testis.17ypb.Male	
testis_32	ERR2598286	testis	32	male	elderly	5518sTS.Human.Testis.55ypb.Male	
testis_33	ERR2598304	testis	33	male	infant	6102sTS.Human.Testis.6mpb.Male	
testis_34	ERR2598303	testis	34	male	infant	5560sTS.Human.Testis.221dpb.Male	
testis_35	ERR2598302	testis	35	male	infant	5523sTS.Human.Testis.270dpb.Male	
testis_36	ERR2598311	testis	36	male	middle.adult	6095sTS.Human.Testis.46ypb.Male	
testis_37	ERR2598345	testis	37	male	toddler	5841sTS.Human.Testis.1ypb.Male	
testis_38	ERR2598362	testis	38	male	young.adult	6107sTS.Human.Testis.28ypb.Male	
testis_39	ERR2598360	testis	39	male	young.adult	5535sTS.Human.Testis.29ypb.Male	
testis_40	ERR2598361	testis	40	male	young.adult	5566sTS.Human.Testis.29ypb.Male	
testis_41	ERR2598363	testis	41	male	young.adult	5550sTS.Human.Testis.39ypb.Male	
