sample	file	group	replicate	sex	devstage	sname
heart_11	ERR2598105	heart	11	male	13wpc	5659sTS.Human.Heart.13w.Male	
heart_12	ERR2598106	heart	12	male	13wpc	5696sTS.Human.Heart.13w.Male	
heart_13	ERR2598107	heart	13	male	13wpc	5938sTS.Human.Heart.13w.Male	
heart_14	ERR2598108	heart	14	female	13wpc	5942sTS.Human.Heart.13w.Female	
heart_15	ERR2598124	heart	15	male	16wpc	5701sTS.Human.Heart.16w.Male	
heart_16	ERR2598122	heart	16	female	16wpc	5658sTS.Human.Heart.16w.Female	
heart_17	ERR2598123	heart	17	male	16wpc	5700sTS.Human.Heart.16w.Male	
heart_18	ERR2598138	heart	18	male	18wpc	5660sTS.Human.Heart.18w.Male	
heart_19	ERR2598153	heart	19	male	19wpc	5777sTS.Human.Heart.19w.Male	
heart_20	ERR2598154	heart	20	male	19wpc	5780sTS.Human.Heart.19w.Male	
heart_21	ERR2598155	heart	21	female	19wpc	5783sTS.Human.Heart.19w.Female	
heart_22	ERR2598167	heart	22	female	4wpc	3586sTS.Human.Heart.CS14.Female	
heart_23	ERR2598168	heart	23	male	4wpc	3588sTS.Human.Heart.CS13.Male	
heart_24	ERR2598182	heart	24	male	5wpc	3671sTS.Human.Heart.CS16.Male	
heart_25	ERR2598183	heart	25	female	5wpc	5642sTS.Human.Heart.5w.Female	
heart_26	ERR2598193	heart	26	male	6wpc	2088sTS.Human.Heart.CS18.Male	
heart_27	ERR2598194	heart	27	female	6wpc	3675sTS.Human.Heart.CS17.Female	
heart_28	ERR2598209	heart	28	male	7wpc	2027sTS.Human.Heart.CS21.Male	
heart_29	ERR2598211	heart	29	male	7wpc	3638sTS.Human.Heart.CS21.Male	
heart_30	ERR2598210	heart	30	female	7wpc	3573sTS.Human.Heart.CS20.Female	
heart_31	ERR2598230	heart	31	male	8wpc	1443sTSm.Human.Heart.CS23.Male	
heart_32	ERR2598231	heart	32	male	8wpc	2030sTSb.Human.Heart.CS22.Male	
heart_33	ERR2598232	heart	33	female	8wpc	2032sTSm.Human.Heart.CS22.Female	
heart_34	ERR2598234	heart	34	male	8wpc	2037sTSb.Human.Heart.8w.Male	
heart_35	ERR2598233	heart	35	female	8wpc	2081sTS.Human.Heart.CS23.Female	
heart_36	ERR2598253	heart	36	male	9wpc	2039sTSm.Human.Heart.9w.Male	
heart_37	ERR2598254	heart	37	female	9wpc	2051sTSm.Human.Heart.9w.Female	
heart_38	ERR2598255	heart	38	male	9wpc	2071sTS.Human.Heart.9w.Male	
heart_39	ERR2598270	heart	39	male	adolescent	5822sTS.Human.Heart.13ypb.Male	
heart_40	ERR2598291	heart	40	female	infant	5828sTS.Human.Heart.6mpb.Female	
heart_41	ERR2598292	heart	41	female	infant	5909sTS.Human.Heart.6mpb.Female	
heart_42	ERR2598290	heart	42	male	infant	5836sTS.Human.Heart.127dpb.Male	
heart_43	ERR2598289	heart	43	male	infant	5818sTS.Human.Heart.226dpb.Male	
heart_44	ERR2598307	heart	44	male	middle.adult	6043sTS.Human.Heart.54ypb.Male	
heart_45	ERR2598315	heart	45	female	neonate	5843sTS.Human.Heart.0dpb.Female	
heart_46	ERR2598316	heart	46	male	neonate	5850sTS.Human.Heart.6dpb.Male	
heart_47	ERR2598317	heart	47	male	neonate	5905sTS.Human.Heart.94dpb.Male	
heart_48	ERR2598338	heart	48	male	toddler	5839sTS.Human.Heart.2ypb.Male	
heart_49	ERR2598339	heart	49	female	toddler	6100sTS.Human.Heart.4ypb.Female	
heart_50	ERR2598351	heart	50	male	young.adult	6042sTS.Human.Heart.25ypb.Male	
hindbrain_1	ERR2598056	hindbrain	1	male	10wpc	3653sTS.Human.Hindbrain.10w.Male	
hindbrain_2	ERR2598057	hindbrain	2	female	10wpc	5743sTS.Human.Hindbrain.10w.Female	
hindbrain_3	ERR2598077	hindbrain	3	male	11wpc	2048sTSm.Human.Hindbrain.11w.Male	
hindbrain_4	ERR2598078	hindbrain	4	male	11wpc	2096sTS.Human.Cerebellum.11w.Male	
hindbrain_5	ERR2598079	hindbrain	5	male	11wpc	3668sTS.Human.Hindbrain.11w.Male	
hindbrain_6	ERR2598080	hindbrain	6	female	11wpc	5637sTS.Human.Hindbrain.11w.Female	
hindbrain_7	ERR2598092	hindbrain	7	male	12wpc	3769sTS.Human.Hindbrain.12w.Male	
hindbrain_8	ERR2598094	hindbrain	8	male	12wpc	5722sTS.Human.Hindbrain.12w.Male	
hindbrain_9	ERR2598093	hindbrain	9	female	12wpc	5708sTS.Human.Hindbrain.12w.Female	
hindbrain_10	ERR2598109	hindbrain	10	male	13wpc	5670sTS.Human.Hindbrain.13w.Male	
hindbrain_11	ERR2598110	hindbrain	11	male	13wpc	5724sTS.Human.Hindbrain.13w.Male	
hindbrain_12	ERR2598111	hindbrain	12	female	13wpc	5943sTS.Human.Hindbrain.13w.Female	
hindbrain_13	ERR2598125	hindbrain	13	female	16wpc	5669sTS.Human.Hindbrain.16w.Female	
hindbrain_14	ERR2598126	hindbrain	14	male	16wpc	5671sTS.Human.Hindbrain.16w.Male	
hindbrain_15	ERR2598127	hindbrain	15	female	16wpc	5956sTS.Human.Hindbrain.16w.Female	
hindbrain_16	ERR2598169	hindbrain	16	female	4wpc	5622sTS.Human.Hindbrain.4w.Female	
hindbrain_17	ERR2598170	hindbrain	17	male	4wpc	5625sTS.Human.Hindbrain.4w.Male	
hindbrain_18	ERR2598171	hindbrain	18	male	4wpc	6097sTS.Human.Hindbrain.4w.Male	
hindbrain_19	ERR2598184	hindbrain	19	male	5wpc	3670sTS.Human.Hindbrain.CS16.Male	
hindbrain_20	ERR2598185	hindbrain	20	female	5wpc	5635sTS.Human.Hindbrain.5w.Female	
hindbrain_21	ERR2598195	hindbrain	21	male	6wpc	2089sTS.Human.Hindbrain.CS18.Male	
hindbrain_22	ERR2598197	hindbrain	22	female	6wpc	3674sTS.Human.Hindbrain.CS17.Female	
hindbrain_23	ERR2598196	hindbrain	23	male	6wpc	3672sTS.Human.Hindbrain.CS18.Male	
hindbrain_24	ERR2598198	hindbrain	24	female	6wpc	5742sTS.Human.Hindbrain.6w.Female	
hindbrain_25	ERR2598212	hindbrain	25	male	7wpc	2029sTSb.Human.Hindbrain.CS21.Male	
hindbrain_26	ERR2598214	hindbrain	26	male	7wpc	3637sTS.Human.Hindbrain.CS21.Male	
hindbrain_27	ERR2598213	hindbrain	27	female	7wpc	3572sTS.Human.Hindbrain.CS20.Female	
hindbrain_28	ERR2598235	hindbrain	28	male	8wpc	2031sTS.Human.Hindbrain.CS22.Male	
hindbrain_29	ERR2598236	hindbrain	29	female	8wpc	2033sTS.Human.Hindbrain.CS22.Female	
hindbrain_30	ERR2598238	hindbrain	30	male	8wpc	2036sTSm.Human.Hindbrain.8w.Male	
hindbrain_31	ERR2598237	hindbrain	31	female	8wpc	2082sTSb.Human.Hindbrain.CS23.Female	
hindbrain_32	ERR2598256	hindbrain	32	male	9wpc	2040sTS.Human.Hindbrain.9w.Male	
hindbrain_33	ERR2598257	hindbrain	33	female	9wpc	2054sTS.Human.Hindbrain.9w.Female	
hindbrain_34	ERR2598271	hindbrain	34	male	adolescent	5511sTS.Human.Cerebellum.13ypb.Male	
hindbrain_35	ERR2598273	hindbrain	35	male	adolescent	5545sTS.Human.Cerebellum.14ypb.Male	
hindbrain_36	ERR2598272	hindbrain	36	male	adolescent	5534sTS.Human.Cerebellum.16ypb.Male	
hindbrain_37	ERR2598274	hindbrain	37	male	adolescent	5565sTS.Human.Cerebellum.17ypb.Male	
hindbrain_38	ERR2598282	hindbrain	38	male	elderly	5525sTS.Human.Cerebellum.58ypb.Male	
hindbrain_39	ERR2598283	hindbrain	39	male	elderly	5573sTS.Human.Cerebellum.58ypb.Male	
hindbrain_40	ERR2598295	hindbrain	40	female	infant	5849sTS.Human.Cerebellum.6mpb.Female	
hindbrain_41	ERR2598293	hindbrain	41	male	infant	5555sTS.Human.Cerebellum.221dpb.Male	
hindbrain_42	ERR2598294	hindbrain	42	male	infant	5568sTS.Human.Cerebellum.270dpb.Male	
hindbrain_43	ERR2598309	hindbrain	43	male	middle.adult	5549sTS.Human.Cerebellum.50ypb.Male	
hindbrain_44	ERR2598308	hindbrain	44	male	middle.adult	5516sTS.Human.Cerebellum.53ypb.Male	
hindbrain_45	ERR2598321	hindbrain	45	female	neonate	5842sTS.Human.Cerebellum.0dpb.Female	
hindbrain_46	ERR2598322	hindbrain	46	female	neonate	5848sTS.Human.Cerebellum.0dpb.Female	
hindbrain_47	ERR2598318	hindbrain	47	male	neonate	5510sTS.Human.Cerebellum.4dpb.Male	
hindbrain_48	ERR2598319	hindbrain	48	female	neonate	5519sTS.Human.Cerebellum.15dpb.Female	
hindbrain_49	ERR2598320	hindbrain	49	female	neonate	5527sTS.Human.Cerebellum.19dpb.Female	
hindbrain_50	ERR2598331	hindbrain	50	male	school.age.child	5567sTS.Human.Cerebellum.7ypb.Male	
hindbrain_51	ERR2598330	hindbrain	51	male	school.age.child	5562sTS.Human.Cerebellum.8ypb.Male	
hindbrain_52	ERR2598332	hindbrain	52	female	school.age.child	6046sTS.Human.Cerebellum.8ypb.Female	
hindbrain_53	ERR2598340	hindbrain	53	female	toddler	5559sTS.Human.Cerebellum.2ypb.Female	
hindbrain_54	ERR2598341	hindbrain	54	male	toddler	5846sTS.Human.Cerebellum.4ypb.Male	
hindbrain_55	ERR2598352	hindbrain	55	male	young.adult	5520sTS.Human.Cerebellum.29ypb.Male	
hindbrain_56	ERR2598353	hindbrain	56	male	young.adult	5540sTS.Human.Cerebellum.29ypb.Male	
hindbrain_57	ERR2598354	hindbrain	57	female	young.adult	6047sTS.Human.Cerebellum.32ypb.Female	
hindbrain_58	ERR2598355	hindbrain	58	male	young.adult	5522sTS.Human.Cerebellum.39ypb.Male	
hindbrain_59	ERR2598356	hindbrain	59	male	young.adult	5547sTS.Human.Cerebellum.39ypb.Male	
kidney_1	ERR2598058	kidney	1	female	10wpc	5646sTS.Human.Kidney.10w.Female	
kidney_2	ERR2598059	kidney	2	female	10wpc	5709sTS.Human.Kidney.10w.Female	
kidney_3	ERR2598060	kidney	3	female	10wpc	5930sTS.Human.Kidney.10w.Female	
kidney_4	ERR2598081	kidney	4	male	11wpc	1439sTS.Human.Kidney.11w.Male	
kidney_5	ERR2598082	kidney	5	female	11wpc	5647sTS.Human.Kidney.11w.Female	
kidney_6	ERR2598096	kidney	6	male	12wpc	5651sTS.Human.Kidney.12w.Male	
kidney_7	ERR2598095	kidney	7	female	12wpc	5648sTS.Human.Kidney.12w.Female	
kidney_8	ERR2598112	kidney	8	male	13wpc	5655sTS.Human.Kidney.13w.Male	
kidney_9	ERR2598113	kidney	9	female	13wpc	5697sTS.Human.Kidney.13w.Female	
kidney_10	ERR2598114	kidney	10	male	13wpc	5713sTS.Human.Kidney.13w.Male	
kidney_11	ERR2598130	kidney	11	male	16wpc	5698sTS.Human.Kidney.16w.Male	
kidney_12	ERR2598128	kidney	12	female	16wpc	5661sTS.Human.Kidney.16w.Female	
kidney_13	ERR2598129	kidney	13	male	16wpc	5687sTS.Human.Kidney.16w.Male	
kidney_14	ERR2598140	kidney	14	male	18wpc	5688sTS.Human.Kidney.18w.Male	
kidney_15	ERR2598139	kidney	15	female	18wpc	5662sTS.Human.Kidney.18w.Female	
kidney_16	ERR2598141	kidney	16	female	18wpc	5957sTS.Human.Kidney.18w.Female	
kidney_17	ERR2598156	kidney	17	male	19wpc	5779sTS.Human.Kidney.19w.Male	
kidney_18	ERR2598157	kidney	18	female	19wpc	5771sTS.Human.Kidney.20w.Female	
kidney_19	ERR2598158	kidney	19	male	19wpc	5775sTS.Human.Kidney.20w.Male	
kidney_20	ERR2598172	kidney	20	male	4wpc	5911sTS.Human.KidneyTestis.4w.Male	
kidney_21	ERR2598186	kidney	21	male	5wpc	5649sTS.Human.Kidney.5w.Male	
kidney_22	ERR2598187	kidney	22	female	5wpc	5717sTS.Human.Kidney.5w.Female	
kidney_23	ERR2598199	kidney	23	female	6wpc	5643sTS.Human.Kidney.6w.Female	
kidney_24	ERR2598200	kidney	24	male	6wpc	5650sTS.Human.Kidney.6w.Male	
kidney_25	ERR2598216	kidney	25	male	7wpc	5675sTS.Human.Kidney.7w.Male	
kidney_26	ERR2598215	kidney	26	female	7wpc	5644sTS.Human.Kidney.7w.Female	
kidney_27	ERR2598240	kidney	27	male	8wpc	5676sTS.Human.Kidney.CS23.Male	
kidney_28	ERR2598239	kidney	28	female	8wpc	5645sTS.Human.Kidney.CS22.Female	
kidney_29	ERR2598258	kidney	29	male	9wpc	5680sTS.Human.Kidney.9w.Male	
kidney_30	ERR2598259	kidney	30	male	9wpc	5925sTS.Human.Kidney.9w.Male	
kidney_31	ERR2598297	kidney	31	female	infant	6103sTS.Human.Kidney.6mpb.Female	
kidney_32	ERR2598298	kidney	32	male	infant	6104sTS.Human.Kidney.6mpb.Male	
kidney_33	ERR2598299	kidney	33	male	infant	6105sTS.Human.Kidney.6mpb.Male	
kidney_34	ERR2598296	kidney	34	female	infant	5819sTS.Human.Kidney.226dpb.Female	
kidney_35	ERR2598324	kidney	35	female	neonate	5844sTS.Human.Kidney.0dpb.Female	
kidney_36	ERR2598325	kidney	36	female	neonate	6098sTS.Human.Kidney.18dpb.Female	
kidney_37	ERR2598323	kidney	37	male	neonate	5834sTS.Human.Kidney.34dpb.Male	
kidney_38	ERR2598333	kidney	38	female	school.age.child	6099sTS.Human.Kidney.8ypb.Female	
kidney_39	ERR2598342	kidney	39	male	toddler	5821sTS.Human.Kidney.2ypb.Male	
kidney_40	ERR2598343	kidney	40	female	toddler	6101sTS.Human.Kidney.4ypb.Female	
liver_1	ERR2598061	liver	1	male	10wpc	2025sTSb.Human.Liver.10w.Male	
liver_2	ERR2598062	liver	2	female	10wpc	2094sTS.Human.Liver.10w.Female	
liver_3	ERR2598063	liver	3	male	10wpc	3654sTS.Human.Liver.10w.Male	
liver_4	ERR2598064	liver	4	female	10wpc	5678sTS.Human.Liver.10w.Female	
liver_5	ERR2598083	liver	5	male	11wpc	2046sTSb.Human.Liver.11w.Male	
liver_6	ERR2598084	liver	6	male	11wpc	2112sTS.Human.Liver.11w.Male	
liver_7	ERR2598085	liver	7	female	11wpc	3779sTS.Human.Liver.11w.Female	
liver_8	ERR2598097	liver	8	male	12wpc	3776sTS.Human.Liver.12w.Male	
liver_9	ERR2598115	liver	9	female	13wpc	5954sTS.Human.Liver.13w.Female	
liver_10	ERR2598132	liver	10	male	16wpc	5656sTS.Human.Liver.16w.Male	
liver_11	ERR2598131	liver	11	female	16wpc	5654sTS.Human.Liver.16w.Female	
liver_12	ERR2598143	liver	12	male	18wpc	5657sTS.Human.Liver.18w.Male	
liver_13	ERR2598142	liver	13	female	18wpc	5641sTS.Human.Liver.18w.Female	
